index,firstname,predictedGender,genderConfidence,numPredSamples
1084,massimiliano,M,99,9846
1085,farzad,M,99,2088
1086,bennet,M,98,254
1087,reese,M,63,608
1088,clifton,M,99,760
1089,salim,M,98,19227
1090,anousheh,F,93,15
1091,roland,M,99,19977
1092,saber,M,98,3983
1093,kun,M,79,1193
1094,wu,M,70,1082
1095,yubo,M,94,33
1096,iago,M,99,1267
1097,maria,F,97,210980
1098,marlena,F,98,4224
1099,fritz,M,96,2798
1100,parks,M,89,44
1101,evgeny,M,99,2528
1102,christos,M,99,3245
1103,salvatore,M,99,26461
1104,hal,M,91,1249
1105,manuel,M,99,80479
1106,jesun,M,67,3
1107,keno,M,94,382
1108,uwe,M,99,7587
1109,norman,M,99,5879
1110,yan,M,73,7668
1111,katelin,F,98,182
1112,annie,F,98,21404
1113,jamey,M,81,456
1114,willa,F,87,277
1115,mikael,M,99,9260
1116,debbie,F,98,14938
1117,alberto,M,99,59234
1118,erich,M,98,2466
1119,azam,M,81,1705
1120,fernanda,F,98,21026
1121,dustin,M,100,7791
1122,petar,M,99,3235
1123,liam,M,99,10535
1124,egan,M,90,92
1125,josse,M,75,394
1126,brand,M,92,271
1127,jillian,F,99,2751
1128,niel,M,96,555
1129,billy,M,97,14941
1130,yvan,M,98,3628
1131,alyce,F,99,268
1132,luke,M,99,19785
1133,geoffrey,M,99,9388
1134,franz,M,98,6337
1135,rosemary,F,98,4141
1136,ludo,M,97,9198
1137,ludovic,M,99,15491
1138,fausto,M,99,3642
1139,park,M,77,2496
1140,kathryn,F,99,6305
1141,lane,M,62,1205
1142,melyssa,F,99,362
1143,sue,F,98,12985
1144,hallel,F,63,8
1145,hutch,M,96,114
1146,lenny,M,68,2899
1147,rune,M,98,1348
1148,deirdre,F,99,1019
1149,holger,M,99,4592
1150,garth,M,99,987
1151,harry,M,98,22201
1152,sio,M,76,130
1153,yu,M,63,3238
1154,valentin,M,98,14147
1155,kozo,M,95,79
1156,kazutoshi,M,100,57
1157,yoshito,M,100,59
1158,akihiko,M,99,167
1159,masahide,M,100,42
1160,katsuki,M,85,39
1161,hajime,M,98,340
1162,kohei,M,99,388
1163,naoyuki,M,100,130
1164,norihisa,M,100,30
1165,syoyo,unknown,0,0
1166,ikki,M,86,156
1167,takeshi,M,99,1224
1168,keiichiro,M,98,58
1169,keisuke,M,100,758
1170,kimihiko,M,100,14
1171,tatsunao,unknown,0,0
1172,kazuo,M,99,344
1173,yoshinari,M,97,34
1174,hideyuki,M,100,197
1175,rie,F,87,682
1176,shai,M,73,764
1177,taigo,unknown,0,0
1178,shinnosuke,M,100,66
1179,yasunori,M,99,125
1180,da,M,75,3554
1181,joerg,M,99,1242
1182,edgar,M,99,15277
1183,liza,F,97,6734
1184,abdo,M,98,12264
1185,sanian,unknown,50,4
1186,niall,M,96,1660
1187,fabrizio,M,99,14821
1188,hormozd,unknown,0,0
1189,ana,F,97,116882
1190,daniela,F,97,54599
1191,benzi,M,93,54
1192,zelimir,M,97,62
1193,keri,F,92,1563
1194,judson,M,100,323
1195,lanie,F,94,441
1196,gianluca,M,99,15872
1197,chirone,unknown,50,4
1198,santiago,M,99,12227
1199,carrie,F,98,7508
1200,guang,M,92,211
1201,shanyuan,F,67,3
1202,yaoqing,unknown,0,0
1203,yuan,M,58,1547
1204,aimee,F,98,4175
1205,andres,M,98,28143
1206,janette,F,98,1888
1207,noe,F,56,3997
1208,anastasio,M,91,200
1209,helen,F,98,20437
1210,judith,F,98,12099
1211,cathy,F,98,18332
1212,sharad,M,100,2245
1213,rao,M,96,976
1214,cormac,M,100,317
1215,nicole,F,98,57107
1216,pramod,M,100,5920
1217,ada,F,86,8967
1218,ndeye,F,98,628
1219,jerome,M,99,28878
1220,vikram,M,100,6792
1221,lixin,M,66,85
1222,xiongzi,unknown,0,0
1223,gebru,M,100,12
1224,winfried,M,99,543
1225,aytekin,M,95,1592
1226,terence,M,99,3068
1227,olaf,M,98,3744
1228,cong,M,92,873
1229,dante,M,98,4450
1230,miles,M,91,2743
1231,evangelos,M,99,376
1232,alonzo,M,98,736
1233,georgia,F,93,4791
1234,pawel,M,99,11038
1235,balazs,M,97,656
1236,denis,M,97,36927
1237,berk,M,98,8228
1238,sheikh,M,97,1957
1239,ruben,M,99,28035
1240,neha,F,98,10020
1241,sayan,M,97,1105
1242,siddhartha,M,100,1444
1243,cosimo,M,99,3135
1244,lionel,M,99,12664
1245,morgan,M,61,14075
1246,brydon,M,88,17
1247,horst,M,98,3858
1248,yolanda,F,98,12245
1249,ellis,M,65,1266
1250,josie,F,95,2909
1251,merle,F,76,730
1252,roscoe,M,100,216
1253,zachary,M,100,6867
1254,mckinley,M,53,146
1255,stephan,M,98,12325
1256,pam,F,96,7408
1257,dorit,F,97,193
1258,judit,F,99,7689
1259,renata,F,98,26352
1260,alfonso,M,99,14762
1261,fabrice,M,98,20085
1262,sergi,M,99,3796
1263,vigfus,unknown,0,0
1264,mariagrazia,F,98,966
1265,gena,F,54,1302
1266,pat,M,61,19203
1267,shaun,M,98,10445
1268,dae,M,82,267
1269,leah,F,99,8185
1270,charleson,M,100,16
1271,jessica,F,98,96075
1272,karmen,F,96,1431
1273,teghan,F,74,19
1274,raphael,M,99,15330
1275,eng,M,85,1554
1276,anup,M,100,3337
1277,aniruddha,M,100,974
1278,maya,F,94,14191
1279,vinayak,M,100,2341
1280,darach,M,92,12
1281,dror,M,98,226
1282,cedric,M,99,22386
1283,anastasia,F,98,10597
1284,alejandro,M,99,38492
1285,mateo,M,99,3356
1286,yifan,M,71,213
1287,yili,F,65,55
1288,blake,M,96,5524
1289,marcelino,M,99,1307
1290,roman,M,99,35668
1291,ricardo,M,99,60544
1292,rekai,unknown,50,6
1293,gabriela,F,98,30150
1294,gwen,F,84,4960
1295,trevor,M,99,9569
1296,ganesh,M,100,9866
1297,oleg,M,100,11617
1298,lev,M,98,825
1299,manjunath,M,100,2318
1300,gunnar,M,99,1867
1301,ksenia,F,98,2438
1302,stefano,M,99,41075
1303,wyatt,M,99,985
1304,wojtek,M,99,9670
1305,mandy,F,96,14228
1306,klaus,M,98,12290
1307,chase,M,97,3412
1308,netty,F,96,468
1309,krzysztof,M,100,28124
1310,bethany,F,99,4026
1311,silvina,F,99,1226
1312,ernst,M,99,2079
1313,giulia,F,98,18383
1314,herbert,M,98,5195
1315,cassie,F,98,4240
1316,gg,M,75,1989
1317,oded,M,99,242
1318,michial,M,100,11
1319,sol,F,78,4220
1320,zoey,F,95,991
1321,anders,M,99,8349
1322,victore,M,85,52
1323,sheryl,F,98,2226
1324,vahan,M,99,222
1325,tamara,F,98,19524
1326,liz,F,98,14451
1327,patty,F,95,7490
1328,daphne,F,99,2689
1329,stevie,M,76,2439
1330,cindy,F,98,34125
1331,j.p.,unknown,0,0
1332,mic,M,88,2274
1333,vinod,M,100,10446
1334,patricia,F,98,73517
1335,lucas,M,99,44793
1336,qijun,M,83,12
1337,marybeth,F,98,338
1338,sigurgestur,unknown,0,0
1339,oliver,M,98,20837
1340,danilo,M,99,14573
1341,martyn,M,99,1959
1342,samar,F,80,4324
1343,carla,F,98,39528
1344,cesc,M,98,544
1345,guido,M,99,8355
1346,baris,M,98,3321
1347,murat,M,100,76491
1348,hugo,M,99,30384
1349,rui,M,97,21539
1350,shuang,F,64,253
1351,xiaohu,M,100,34
1352,xinchen,M,56,9
1353,yanfei,F,54,28
1354,zhong,M,73,297
1355,geetika,F,99,323
1356,mohit,M,100,9502
1357,nagesh,M,100,1365
1358,nayanee,unknown,0,0
1359,rakesh,M,100,16589
1360,rittick,M,100,13
1361,shantanu,M,100,1617
1362,sumit,M,100,12236
1363,uday,M,99,3705
1364,crissi,F,88,40
1365,diana,F,98,51478
1366,yugi,M,84,109
1367,dongjo,M,100,4
1368,salman,M,99,10306
1369,najeeb,M,99,937
1370,bilel,M,99,3947
1371,tomer,M,99,491
1372,per,M,97,4773
1373,georg,M,99,4287
1374,katsumi,M,82,176
1375,adnan,M,98,18806
1376,haraldur,M,100,43
1377,maja,F,97,10405
1378,minoru,M,98,369
1379,annette,F,98,7345
1380,arwa,F,97,1142
1381,nicolay,M,99,168
1382,jobi,M,85,120
1383,june,F,79,5286
1384,yasser,M,99,9143
1385,nobuhiko,M,100,52
1386,toshihiro,M,100,162
1387,jeffry,M,99,975
1388,maia,F,93,1890
1389,niels,M,99,4119
1390,ratika,F,95,74
1391,vera,F,98,18367
1392,pengfei,M,97,110
1393,qinfen,unknown,0,0
1394,takanori,M,100,245
1395,hiroshi,M,99,1649
1396,zachy,M,90,29
1397,arvind,M,100,6718
1398,neeraj,M,98,6718
1399,ruud,M,99,2251
1400,jami,F,69,1291
1401,amber,F,96,15906
1402,trev,M,98,490
1403,trichell,unknown,0,0
1404,joal,M,98,44
1405,dot,F,69,497
1406,lynne,F,99,3384
1407,cyrus,M,98,1625
1408,wiilliam,M,100,9
1409,alistair,M,99,1561
1410,alasdair,M,100,336
1411,rakib,M,99,516
1412,katsuyuki,M,100,58
1413,aki,M,72,2307
1414,akiko,F,97,572
1415,hidehiko,M,100,30
1416,maki,M,50,1569
1417,satomi,F,94,228
1418,yuta,M,97,824
1419,nobu,M,95,258
1420,amr,M,98,11019
1421,zohra,F,98,1346
1422,masayuki,M,99,582
1423,takao,M,98,225
1424,chikao,M,100,5
1425,yuji,M,97,789
1426,steffen,M,99,6065
1427,ciri,M,67,63
1428,neile,F,79,19
1429,magne,M,95,217
1430,rw,M,83,100
1431,mitsuru,M,96,162
1432,akihiro,M,100,381
1433,kenichi,M,99,511
1434,yasumori,M,100,3
1435,perry,M,91,3059
1436,wilco,M,99,580
1437,hiroaki,M,100,532
1438,rajeeb,M,100,76
1439,bin,M,90,1985
1440,bingsheng,unknown,0,0
1441,ke,M,76,738
1442,ling,F,78,2043
1443,shuibing,unknown,0,0
1444,xubin,M,100,10
1445,gopal,M,99,4102
1446,jorg,M,98,417
1447,timo,M,99,7744
1448,katrin,F,98,6051
1449,clemens,M,99,1011
1450,brianna,F,98,4067
1451,luuk,M,100,621
1452,alexia,F,95,7423
1453,mickey,M,79,3987
1454,claire,F,98,26895
1455,nikolaj,M,99,793
1456,heber,M,99,663
1457,marcello,M,99,8744
1458,oscar,M,99,40647
1459,dawn,F,97,11200
1460,kanishka,M,72,454
1461,loreen,F,96,328
1462,jochen,M,100,2485
1463,molly,F,98,7318
1464,nora,F,97,12692
1465,tobias,M,100,14532
1466,kerry,F,74,7040
1467,parmer,unknown,0,0
1468,patti,F,96,2460
1469,tj,M,91,3646
1470,ryutaro,M,100,82
1471,jayson,M,99,2462
1472,tasuku,M,98,51
1473,kaduo,unknown,0,0
1474,kei,M,75,1386
1475,mitsutoshi,M,100,16
1476,yukihiko,M,100,25
1477,shoichi,M,100,133
1478,kazuyuki,M,100,210
1479,takahiro,M,99,885
1480,nao,M,58,926
1481,catherine,F,98,34286
1482,yoon,M,66,724
1483,bichlien,F,88,8
1484,thuc,M,88,271
1485,tjeerd,M,100,185
1486,n,M,62,2478
1487,adolfy,unknown,0,0
1488,katherine,F,99,14007
1489,raquell,F,100,35
1490,glendon,M,99,80
1491,rose,F,96,27430
1492,joakim,M,99,2988
1493,chan,M,68,4046
1494,jong-hyun,unknown,0,0
1495,sungpack,unknown,0,0
1496,taeyoung,M,86,101
1497,zhaofeng,M,89,9
1498,masa,M,76,1400
1499,kenta,M,99,770
1500,guan,M,76,236
1501,goki,M,77,57
1502,jeanette,F,97,5307
1503,hans-christian,unknown,0,0
1504,miluska,F,99,235
1505,atsushi,M,100,898
1506,muneo,M,100,8
1507,sri,F,56,7736
1508,mayumi,F,97,593
1509,masato,M,99,572
1510,tetsuya,M,99,548
1511,mutsumi,F,83,48
1512,siqing,F,57,7
1513,damond,M,98,56
1514,danial,M,99,1823
1515,katie,F,99,25445
1516,kennett,M,88,16
1517,stewart,M,99,2966
1518,jessy,F,70,8820
1519,nikki,F,93,10378
1520,darran,M,99,262
1521,eiki,M,91,47
1522,janelle,F,99,2081
1523,emil,M,97,10915
1524,lifong,unknown,0,0
1525,pingkang,unknown,0,0
1526,chung-hsing,unknown,0,0
1527,jasper,M,98,3356
1528,johnson,M,96,6429
1529,hao,M,84,1942
1530,qiyang,unknown,0,0
1531,songnian,unknown,0,0
1532,yonggang,M,100,27
1533,xiayu,M,64,11
1534,bormin,unknown,0,0
1535,chang,M,73,1978
1536,jensen,M,84,441
1537,mi,F,55,2948
1538,monet,F,84,176
1539,mu-han,unknown,0,0
1540,shao-ching,unknown,0,0
1541,tsung-i,unknown,0,0
1542,weicheng,M,97,30
1543,xiaoqin,F,84,38
1544,xinping,M,67,15
1545,jacalyn,F,68,102
1546,sia,F,55,890
1547,jean-marie,unknown,0,0
1548,saurabh,M,100,10790
1549,amon,M,78,816
1550,winnie,F,93,3900
1551,kay,F,53,10612
1552,bobby,M,97,13781
1553,felix,M,98,22355
1554,jarrod,M,100,1245
1555,bonnie,F,93,5772
1556,barb,F,98,2010
1557,woody,M,95,1324
1558,dong-uk,unknown,0,0
1559,yoohwan,unknown,0,0
1560,alicia,F,98,24331
1561,koichi,M,99,444
1562,costin,M,97,548
1563,julio,M,96,26463
1564,shadi,M,74,3368
1565,koji,M,98,981
1566,hiroyuki,M,100,1016
1567,akiyoshi,M,98,43
1568,tsuyoshi,M,99,436
1569,shunji,M,83,65
1570,bartlomiej,M,100,372
1571,shuichi,M,99,157
1572,choji,M,100,25
1573,hiromu,M,100,49
1574,kaichiro,unknown,0,0
1575,takatoshi,M,100,61
1576,tsutomu,M,100,209
1577,kazuhito,M,100,62
1578,youngbin,M,91,33
1579,neena,F,97,518
1580,noriaki,M,100,111
1581,ven,M,78,390
1582,yuichi,M,99,433
1583,yusuke,M,99,1200
1584,meador,unknown,0,0
1585,martins,M,93,3272
1586,fumihiko,M,98,48
1587,yasushi,M,99,214
1588,yasuhito,M,100,37
1589,nobuhiro,M,100,122
1590,rogerio,M,99,5067
1591,javier,M,99,55665
1592,dolly,F,91,2422
1593,toby,M,94,4050
1594,shinji,M,98,531
1595,katsuya,M,100,145
1596,kiyo,M,75,169
1597,shuji,M,100,146
1598,yutaka,M,99,463
1599,seiji,M,99,337
1600,kazuya,M,99,578
1601,yozo,M,100,18
1602,tomoaki,M,100,176
1603,samin,M,54,382
1604,kamil,M,98,31453
1605,tanzima,F,100,5
1606,connie,F,96,6676
1607,rolf,M,99,5444
1608,satoshi,M,100,1123
1609,ken'ichi,unknown,0,0
1610,timur,M,99,3688
1611,sergey,M,100,15573
1612,keita,M,90,1028
1613,hidetoshi,M,99,91
1614,anand,M,100,12779
1615,christiane,F,98,9182
1616,joey,M,86,12362
1617,dylan,M,98,17697
1618,preben,M,100,417
1619,andree,M,52,1806
1620,mahdi,M,98,9569
1621,alana,F,97,3228
1622,nikhil,M,100,12442
1623,ondrej,M,99,2372
1624,anni,F,95,2353
1625,holly,F,96,9316
1626,donnell,M,90,242
1627,thad,M,99,328
1628,siham,F,97,5652
1629,jj,M,79,6208
1630,ferdinand,M,99,2908
1631,mani,M,91,8852
1632,ji,M,78,4496
1633,gerry,M,92,5205
1634,branislav,M,99,1869
1635,radoslaw,M,99,536
1636,alaelson,M,100,11
1637,anirudh,M,100,1758
1638,juha,M,99,1516
1639,terrell,M,96,706
1640,melinda,F,99,7647
1641,drew,M,97,7947
1642,byoungseon,unknown,0,0
1643,kiwan,M,98,40
1644,myeongjae,M,100,3
1645,meeshell,F,100,7
1646,shantenu,unknown,0,0
1647,qing,F,57,674
1648,rongguang,unknown,0,0
1649,yulu,F,55,20
1650,xiaodong,M,92,145
1651,xun,M,79,154
1652,dansha,unknown,0,0
1653,fan,M,64,1739
1654,hai,M,84,3166
1655,junhua,M,77,22
1656,li,F,52,3802
1657,broom,M,88,8
1658,doohwa,unknown,0,0
1659,guanghao,M,100,22
1660,haoqiang,unknown,0,0
1661,tong,M,78,2064
1662,yuho,M,77,22
1663,erika,F,98,32836
1664,gangwon,unknown,0,0
1665,hyunik,M,100,7
1666,jae-min,unknown,0,0
1667,sungjin,M,97,181
1668,auston,M,97,59
1669,kjetil,M,100,422
1670,ramesh,M,99,12389
1671,ajendra,M,100,46
1672,riju,M,93,311
1673,avalon,F,60,252
1674,byron,M,99,3846
1675,chadwick,M,99,253
1676,olin,M,85,319
1677,sherry,F,94,6340
1678,tuck,M,56,200
1679,lennart,M,99,1512
1680,alexandra,F,98,44883
1681,clementine,F,98,1501
1682,keaire,unknown,0,0
1683,vaughan,M,96,298
1684,ceci,F,93,1156
1685,balint,M,87,257
1686,ishan,M,99,1882
1687,harris,M,98,1904
1688,valarie,F,99,353
1689,pavol,M,99,2684
1690,spencer,M,97,5163
1691,antonino,M,99,4807
1692,tae,M,82,998
1693,bk,M,84,883
1694,eun-sung,unknown,0,0
1695,ho-youl,unknown,0,0
1696,jaehoon,M,100,161
1697,jaewoon,M,100,4
1698,wookeun,M,100,5
1699,helmut,M,98,4550
1700,gideon,M,99,2761
1701,didier,M,99,23800
1702,kazi,M,93,1055
1703,hideo,M,100,237
1704,chiharu,F,87,102
1705,ralf,M,99,9120
1706,louise,F,97,16884
1707,carola,F,98,3424
1708,hartmut,M,99,1214
1709,takahide,M,97,38
1710,laxmikant,M,99,364
1711,vivek,M,100,16502
1712,kristy,F,98,3756
1713,panos,M,99,3750
1714,sharan,M,85,858
1715,tomio,M,98,57
1716,aharon,M,97,157
1717,shun,M,92,947
1718,keshav,M,99,2040
1719,shoaib,M,99,2946
1720,anke,F,97,2617
1721,yoshi,M,88,1041
1722,yoshihiko,M,100,113
1723,meena,F,94,1789
1724,hiroki,M,99,1011
1725,ji-hoon,unknown,0,0
1726,sung-ho,unknown,0,0
1727,yuriy,M,100,2153
1728,kelvin,M,99,13268
1729,quey-liang,unknown,0,0
1730,ujval,M,96,23
1731,selam,F,52,557
1732,akbar,M,99,3168
1733,tetsuo,M,99,150
1734,konstantine,M,95,110
1735,carsten,M,99,4833
1736,mladen,M,100,1913
1737,faheem,M,99,1479
1738,derrick,M,100,5338
1739,roozbeh,M,98,519
1740,sidney,M,85,3659
1741,fredrik,M,99,6374
1742,rachel,F,98,36560
1743,toshiharu,M,100,46
1744,shusuke,M,100,29
1745,gandharv,M,100,43
1746,sidharth,M,100,1113
1747,indira,F,97,2023
1748,petr,M,98,49693
1749,nagarajan,M,99,512
1750,tomochika,M,100,3
1751,katy,F,98,9943
1752,bharat,M,100,6027
1753,yoshio,M,99,264
1754,eiji,M,98,339
1755,akashi,M,63,41
1756,masanobu,M,100,80
1757,iwasaki,M,82,22
1758,crispin,M,97,450
1759,rory,M,88,2770
1760,valerie,F,97,23722
1761,jonah,M,92,1830
1762,iltcho,unknown,0,0
1763,mandi,F,82,1476
1764,ronan,M,99,2377
1765,gokcen,F,72,75
1766,hanif,M,95,1430
1767,dounia,F,97,2637
1768,ashis,M,99,463
1769,imran,M,98,14947
1770,kamran,M,99,5851
1771,shahin,M,92,2446
1772,suhaib,M,99,594
1773,purnima,F,98,567
1774,alireza,M,99,8441
1775,natalia,F,98,45232
1776,rooh,M,52,171
1777,andrei,M,98,11654
1778,ando,M,81,556
1779,nelson,M,99,20694
1780,yoshiyuki,M,99,267
1781,shunichi,M,100,73
1782,wilma,F,97,3197
1783,byoung-do,unknown,0,0
1784,chonghun,unknown,0,0
1785,chulho,M,100,28
1786,dong-oh,unknown,0,0
1787,duk,M,92,101
1788,francis,M,94,27221
1789,hee-sik,unknown,0,0
1790,hongjune,unknown,0,0
1791,hyunghwan,unknown,0,0
1792,jeanyoung,F,67,3
1793,jinoh,M,100,10
1794,jongho,M,100,98
1795,joohyun,M,53,57
1796,joonyoung,M,96,27
1797,kyoungsook,unknown,0,0
1798,minho,M,98,284
1799,nayong,M,80,5
1800,seong,M,93,248
1801,seungwhoon,unknown,0,0
1802,sunyoung,F,88,140
1803,taehyun,M,96,77
1804,teddy,M,94,8757
1805,whansun,unknown,0,0
1806,wonyoung,M,87,38
1807,yongshin,unknown,0,0
1808,yoonhee,F,81,43
1809,young,M,88,5217
1810,dries,M,99,697
1811,haruyuki,M,96,24
1812,yuki,F,60,3660
1813,joan,M,54,16869
1814,ilana,F,99,762
1815,shinobu,M,62,141
1816,cetin,M,97,1393
1817,mollie,F,98,859
1818,lara,F,97,17098
1819,zoltan,M,99,2665
1820,ezra,M,88,1302
1821,chinatsu,F,96,50
1822,masahiko,M,100,232
1823,toshiaki,M,99,184
1824,diego,M,99,55796
1825,kerstin,F,98,6484
1826,jana,F,98,58706
1827,dardo,M,97,128
1828,michal,M,97,36885
1829,torben,M,100,1645
1830,monika,F,98,64929
1831,uli,M,74,1421
1832,shelley,F,97,3693
1833,han,M,72,4136
1834,soon-heum,unknown,0,0
1835,penporn,F,100,22
1836,kazumasa,M,100,104
1837,masaharu,M,99,97
1838,ryouichi,M,100,16
1839,garima,F,98,1413
1840,yuetsu,unknown,0,0
1841,dania,F,95,1674
1842,lars,M,99,12193
1843,ryota,M,100,608
1844,hidenori,M,100,89
1845,isao,M,98,197
1846,yosuke,M,99,428
1847,bastian,M,99,2532
1848,arno,M,99,3986
1849,masaya,M,95,304
1850,kazuhiko,M,99,187
1851,jukka,M,99,1156
1852,yukihiro,M,99,142
1853,mas,M,88,3075
1854,masaaki,M,100,248
1855,madhu,M,69,4367
1856,fumikazu,M,100,13
1857,toshinobu,M,100,15
1858,stavros,M,99,1670
1859,prakashan,M,100,15
1860,benny,M,94,10014
1861,seid,M,99,285
1862,karol,M,77,16704
1863,leon,M,98,15655
1864,andriy,M,99,1342
1865,kunju,M,83,35
1866,rami,M,97,11771
1867,antonios,M,99,357
1868,pranav,M,100,3780
1869,tommy,M,99,19766
1870,joanna,F,98,32209
1871,tomas,M,99,21833
1872,marina,F,98,48266
1873,jes,F,57,1180
1874,ronny,M,98,8866
1875,desiree,F,98,5160
1876,matjaz,M,99,232
1877,janez,M,96,770
1878,kristin,F,98,9030
1879,olympia,F,90,217
1880,moritz,M,99,1700
1881,ashok,M,100,11716
1882,venkat,M,100,4154
1883,anu,F,75,4951
1884,hari,M,96,9494
1885,kristian,M,96,5687
1886,jan-jitze,unknown,0,0
1887,slava,M,93,2431
1888,hioji,unknown,0,0
1889,hiroji,M,100,5
1890,sebastian,M,99,44096
1891,dhireesha,unknown,0,0
1892,yoshiaki,M,99,296
1893,tomohiro,M,100,426
1894,yvonne,F,98,15823
1895,jeffery,M,99,2416
1896,hideaki,M,99,324
1897,garry,M,99,4251
1898,auke,M,96,185
1899,toshinori,M,98,60
1900,milind,M,100,1740
1901,devdatta,M,92,71
1902,archit,M,100,621
1903,kiyoshi,M,99,287
1904,aruna,F,68,1574
1905,bijender,M,100,143
1906,harish,M,100,7952
1907,nalini,F,95,568
1908,yatish,M,99,206
1909,kalyan,M,99,1874
1910,imai,M,63,38
1911,arimichi,unknown,0,0
1912,nilesh,M,100,6461
1913,bo-yu,unknown,0,0
1914,chih-song,unknown,0,0
1915,tahsin,M,97,2761
1916,shrinivas,M,100,414
1917,motoyoshi,M,100,7
1918,jakub,M,99,19935
1919,arghya,M,98,265
1920,roel,M,99,1837
1921,manabu,M,99,266
1922,ashish,M,100,20560
1923,jorgen,M,98,262
1924,marshall,M,98,2517
1925,caitlin,F,99,5470
1926,yipkei,unknown,0,0
1927,detlef,M,99,2195
1928,marcio,M,99,9609
1929,rene-paul,unknown,0,0
1930,ignacio,M,99,7153
1931,junjie,M,96,196
1932,tsung-chih,unknown,0,0
1933,teodoro,M,98,731
1934,bryant,M,99,1492
1935,herman,M,99,6296
1936,khin,F,73,682
1937,sunny,M,78,18487
1938,jean-francois,unknown,0,0
1939,susann,F,97,1040
1940,aaditya,M,99,641
1941,lea,F,96,10607
1942,chelsea,F,96,8886
1943,jaimie,F,82,595
1944,akhil,M,100,5175
1945,tricia,F,98,3285
1946,vlad,M,99,7686
1947,hilmar,M,93,200
1948,patryk,M,99,10180
1949,firstname2,unknown,0,0
1950,tristan,M,97,6802
1951,dairsie,unknown,0,0
1952,lerone,M,90,21
1953,bayo,M,98,1078
1954,gilbert,M,99,9005
1955,daryl,M,94,3150
1956,pavel,M,99,40126
1957,ying,F,89,3083
1958,abhijeet,M,100,3600
1959,cuong,M,98,2278
1960,huy,M,97,3270
1961,beraldo,M,83,6
1962,sarom,M,79,19
1963,box,M,93,182
1964,hermann,M,97,4434
1965,benjam,M,100,29
1966,bu,M,81,766
1967,che-rung,unknown,0,0
1968,chin-feng,unknown,0,0
1969,do,M,64,2066
1970,dorothy,F,98,4274
1971,gene,M,85,3780
1972,grace,F,96,20031
1973,jae,M,77,1506
1974,jaejin,M,83,29
1975,jen-gaw,unknown,0,0
1976,jeonghoon,M,98,50
1977,jinpil,M,100,3
1978,joyce,F,97,15435
1979,junard,M,100,14
1980,jysoo,unknown,0,0
1981,kyoungmin,M,82,28
1982,liang,M,82,1206
1983,mason,M,97,2587
1984,myungho,M,100,14
1985,phoebe,F,98,2213
1986,sangmin,M,96,210
1987,savannah,F,98,2413
1988,seungyeon,F,55,31
1989,seyong,M,100,14
1990,soo,M,53,999
1991,sunhee,F,92,84
1992,tee,M,73,3534
1993,tsengdar,unknown,0,0
1994,viviyan,F,57,7
1995,won,M,86,523
1996,yong-jun,unknown,0,0
1997,casper,M,95,2450
1998,frederick,M,99,4380
1999,lonnie,M,85,968
2000,lassi,M,90,155
2001,olli-pekka,unknown,0,0
2002,pekka,M,99,1070
2003,ting,F,68,1576
2004,yang,M,68,3939
2005,hernan,M,99,3448
2006,tiina,F,97,1223
2007,lena,F,98,18120
2008,robyn,F,94,3902
2009,angelo,M,93,33736
2010,tau,M,85,279
2011,jeramy,M,96,157
2012,lidia,F,98,12813
2013,gilles,M,99,14780
2014,tara,F,94,10416
2015,leo,M,95,32686
2016,renita,F,97,337
2017,niso,F,55,98
2018,igor,M,99,28437
2019,kacie,F,97,353
2020,alfie,M,95,1252
2021,eleanor,F,98,2078
2022,rachael,F,98,5871
2023,cen,M,73,202
2024,chunggang,unknown,0,0
2025,hengguang,unknown,0,0
2026,hongbo,M,83,64
2027,jiajia,F,76,169
2028,mingzhe,M,95,44
2029,peilong,M,100,6
2030,peng,M,85,1263
2031,quentin,M,99,12538
2032,shuo,M,75,222
2033,tonglin,unknown,0,0
2034,xiaolu,F,65,49
2035,xiaoye,M,52,23
2036,xin,M,58,1530
2037,yee,F,62,669
2038,yin,F,56,1082
2039,zhen,M,64,598
2040,shuwen,F,85,27
2041,weihao,M,100,31
2042,yiheng,M,100,16
2043,qingqing,F,82,72
2044,bernd,M,99,6992
2045,laurence,F,88,16703
2046,tian,M,69,1067
2047,becky,F,98,10762
2048,zhang,M,62,2312
2049,choon-pheng,unknown,0,0
2050,jihye,F,97,342
2051,seng,M,77,486
2052,changhui,M,90,10
2053,ching-rong,unknown,0,0
2054,ching-yung,unknown,0,0
2055,elaine,F,98,13545
2056,fang-pang,unknown,0,0
2057,how,M,86,224
2058,jun,M,88,6462
2059,pei-hung,unknown,0,0
2060,risheng,M,100,9
2061,zongfang,unknown,0,0
2062,matihias,unknown,0,0
2063,jonas,M,99,16403
2064,peg,F,91,629
2065,manny,M,96,2881
2066,zvi,M,98,145
2067,slaton,M,100,8
2068,ce,M,55,406
2069,celong,unknown,0,0
2070,fangming,M,80,10
2071,haikun,M,100,3
2072,honggao,unknown,0,0
2073,jialin,F,58,50
2074,jie,M,62,1547
2075,jingmeng,M,67,3
2076,jingning,F,80,5
2077,liping,F,80,120
2078,ning,F,74,1806
2079,shu,M,61,899
2080,si,M,74,2334
2081,xianglin,M,87,15
2082,xing,M,70,504
2083,yingshu,F,91,11
2084,pol,M,95,3286
2085,li-ta,unknown,0,0
2086,kare,M,51,172
2087,rudolf,M,99,4892
2088,josip,M,99,1599
